type,size,algorithm,time_ms,comparisons
reverse,3000,string_quicksort,0.387771,29007
reverse,3000,string_mergesort,1.98871,14144
reverse,3000,msd_radix,1.02203,7227
reverse,3000,msd_radix_cutoff,0.40506,14148
nearly_sorted,100,quicksort,0.0108194,907
nearly_sorted,100,mergesort,0.0275536,682
nearly_sorted,100,string_quicksort,0.008655,555
nearly_sorted,100,string_mergesort,0.0346986,424
nearly_sorted,100,msd_radix,0.0459114,243
nearly_sorted,100,msd_radix_cutoff,0.015721,459
nearly_sorted,200,quicksort,0.0611186,1994
nearly_sorted,200,mergesort,0.0665218,1635
nearly_sorted,200,string_quicksort,0.0178306,1215
nearly_sorted,200,string_mergesort,0.0842752,867
nearly_sorted,200,msd_radix,0.0573944,476
nearly_sorted,200,msd_radix_cutoff,0.0266604,953
nearly_sorted,300,quicksort,0.0381884,3165
nearly_sorted,300,mergesort,0.107038,2592
nearly_sorted,300,string_quicksort,0.0314692,2006
nearly_sorted,300,string_mergesort,0.134106,1463
nearly_sorted,300,msd_radix,0.0871064,719
nearly_sorted,300,msd_radix_cutoff,0.0392326,1446
nearly_sorted,400,quicksort,0.0559082,4433
nearly_sorted,400,mergesort,0.155153,3816
nearly_sorted,400,string_quicksort,0.0435508,3028
nearly_sorted,400,string_mergesort,0.171285,1789
nearly_sorted,400,msd_radix,0.130067,962
nearly_sorted,400,msd_radix_cutoff,0.0546132,1907
nearly_sorted,500,quicksort,0.076473,5639
nearly_sorted,500,mergesort,0.213161,4692
nearly_sorted,500,string_quicksort,0.071652,3606
nearly_sorted,500,string_mergesort,0.234538,2441
nearly_sorted,500,msd_radix,0.171982,1203
nearly_sorted,500,msd_radix_cutoff,0.0645268,2409
nearly_sorted,600,quicksort,0.0875954,6965
nearly_sorted,600,mergesort,0.258502,5992
nearly_sorted,600,string_quicksort,0.0638862,4416
nearly_sorted,600,string_mergesort,0.354481,2964
nearly_sorted,600,msd_radix,0.213702,1437
nearly_sorted,600,msd_radix_cutoff,0.0786078,2854
nearly_sorted,700,quicksort,0.106161,8347
nearly_sorted,700,mergesort,0.308831,6915
nearly_sorted,700,string_quicksort,0.0764024,5419
nearly_sorted,700,string_mergesort,0.377913,3295
nearly_sorted,700,msd_radix,0.259847,1680
nearly_sorted,700,msd_radix_cutoff,0.0925382,3346
nearly_sorted,800,quicksort,0.117217,9633
nearly_sorted,800,mergesort,0.349563,8126
nearly_sorted,800,string_quicksort,0.0872908,6295
nearly_sorted,800,string_mergesort,0.372831,3684
nearly_sorted,800,msd_radix,0.247741,1926
nearly_sorted,800,msd_radix_cutoff,0.10761,3812
nearly_sorted,900,quicksort,0.145716,10933
nearly_sorted,900,mergesort,0.387564,9064
nearly_sorted,900,string_quicksort,0.105026,7117
nearly_sorted,900,string_mergesort,0.440514,4276
nearly_sorted,900,msd_radix,0.274754,2160
nearly_sorted,900,msd_radix_cutoff,0.131445,4300
nearly_sorted,1000,quicksort,0.184039,12276
nearly_sorted,1000,mergesort,0.490305,10046
nearly_sorted,1000,string_quicksort,0.11061,8154
nearly_sorted,1000,string_mergesort,0.489758,4969
nearly_sorted,1000,msd_radix,0.313459,2407
nearly_sorted,1000,msd_radix_cutoff,0.14337,4786
nearly_sorted,1100,quicksort,0.173763,13617
nearly_sorted,1100,mergesort,0.501295,11202
nearly_sorted,1100,string_quicksort,0.131413,9027
nearly_sorted,1100,string_mergesort,0.55003,5602
nearly_sorted,1100,msd_radix,0.344237,2647
nearly_sorted,1100,msd_radix_cutoff,0.162435,5272
nearly_sorted,1200,quicksort,0.210789,15146
nearly_sorted,1200,mergesort,0.652784,12804
nearly_sorted,1200,string_quicksort,0.148124,9982
nearly_sorted,1200,string_mergesort,0.785253,6081
nearly_sorted,1200,msd_radix,0.357069,2887
nearly_sorted,1200,msd_radix_cutoff,0.169868,5737
nearly_sorted,1300,quicksort,0.211892,16548
nearly_sorted,1300,mergesort,0.582376,14261
nearly_sorted,1300,string_quicksort,0.171626,11026
nearly_sorted,1300,string_mergesort,0.706662,6511
nearly_sorted,1300,msd_radix,0.418205,3126
nearly_sorted,1300,msd_radix_cutoff,0.190703,6209
nearly_sorted,1400,quicksort,0.235283,18037
nearly_sorted,1400,mergesort,0.622754,14894
nearly_sorted,1400,string_quicksort,0.161718,11992
nearly_sorted,1400,string_mergesort,0.764252,6696
nearly_sorted,1400,msd_radix,0.458061,3372
nearly_sorted,1400,msd_radix_cutoff,0.187954,6703
nearly_sorted,1500,quicksort,0.264045,19530
nearly_sorted,1500,mergesort,0.703205,16286
nearly_sorted,1500,string_quicksort,0.190696,12992
nearly_sorted,1500,string_mergesort,0.799482,7195
nearly_sorted,1500,msd_radix,0.51147,3622
nearly_sorted,1500,msd_radix_cutoff,0.199907,7208
nearly_sorted,1600,quicksort,0.276142,21018
nearly_sorted,1600,mergesort,0.726363,17107
nearly_sorted,1600,string_quicksort,0.206676,14085
nearly_sorted,1600,string_mergesort,0.839111,7505
nearly_sorted,1600,msd_radix,0.502853,3865
nearly_sorted,1600,msd_radix_cutoff,0.221142,7653
nearly_sorted,1700,quicksort,0.305742,22390
nearly_sorted,1700,mergesort,0.836909,18309
nearly_sorted,1700,string_quicksort,0.212249,14952
nearly_sorted,1700,string_mergesort,0.853298,8117
nearly_sorted,1700,msd_radix,0.56338,4106
nearly_sorted,1700,msd_radix_cutoff,0.224269,8113
nearly_sorted,1800,quicksort,0.317917,24305
nearly_sorted,1800,mergesort,0.839527,19429
nearly_sorted,1800,string_quicksort,0.229074,15908
nearly_sorted,1800,string_mergesort,0.912013,8631
nearly_sorted,1800,msd_radix,0.574319,4351
nearly_sorted,1800,msd_radix_cutoff,0.227471,8570
nearly_sorted,1900,quicksort,0.33083,26732
nearly_sorted,1900,mergesort,0.911965,20611
nearly_sorted,1900,string_quicksort,0.235245,16946
nearly_sorted,1900,string_mergesort,1.00586,9397
nearly_sorted,1900,msd_radix,0.563426,4594
nearly_sorted,1900,msd_radix_cutoff,0.254612,9071
nearly_sorted,2000,quicksort,0.34324,28029
nearly_sorted,2000,mergesort,0.949948,20669
nearly_sorted,2000,string_quicksort,0.257854,18252
nearly_sorted,2000,string_mergesort,1.02115,10073
nearly_sorted,2000,msd_radix,0.632872,4829
nearly_sorted,2000,msd_radix_cutoff,0.257349,9560
nearly_sorted,2100,quicksort,0.377315,29682
nearly_sorted,2100,mergesort,1.00124,21735
nearly_sorted,2100,string_quicksort,0.259639,19239
nearly_sorted,2100,string_mergesort,1.14435,11004
nearly_sorted,2100,msd_radix,0.737344,5057
nearly_sorted,2100,msd_radix_cutoff,0.308609,10041
nearly_sorted,2200,quicksort,0.402217,31156
nearly_sorted,2200,mergesort,1.08917,23033
nearly_sorted,2200,string_quicksort,0.28017,20234
nearly_sorted,2200,string_mergesort,1.22631,11490
nearly_sorted,2200,msd_radix,0.92465,5302
nearly_sorted,2200,msd_radix_cutoff,0.323754,10537
nearly_sorted,2300,quicksort,0.430456,33108
nearly_sorted,2300,mergesort,1.11335,24486
nearly_sorted,2300,string_quicksort,0.330141,21277
nearly_sorted,2300,string_mergesort,1.30569,12068
nearly_sorted,2300,msd_radix,0.709941,5529
nearly_sorted,2300,msd_radix_cutoff,0.320614,11019
nearly_sorted,2400,quicksort,0.441786,34637
nearly_sorted,2400,mergesort,1.22648,26017
nearly_sorted,2400,string_quicksort,0.302815,22278
nearly_sorted,2400,string_mergesort,1.28902,12285
nearly_sorted,2400,msd_radix,0.801607,5768
nearly_sorted,2400,msd_radix_cutoff,0.347215,11488
nearly_sorted,2500,quicksort,0.473337,36759
nearly_sorted,2500,mergesort,1.22766,27354
nearly_sorted,2500,string_quicksort,0.318695,23392
nearly_sorted,2500,string_mergesort,1.38786,12849
nearly_sorted,2500,msd_radix,0.731315,6017
nearly_sorted,2500,msd_radix_cutoff,0.331939,12003
nearly_sorted,2600,quicksort,0.512913,38823
nearly_sorted,2600,mergesort,1.29053,28764
nearly_sorted,2600,string_quicksort,0.368886,24750
nearly_sorted,2600,string_mergesort,1.49009,13139
nearly_sorted,2600,msd_radix,0.798853,6260
nearly_sorted,2600,msd_radix_cutoff,0.322628,12535
nearly_sorted,2700,quicksort,0.518643,40356
nearly_sorted,2700,mergesort,1.30238,29618
nearly_sorted,2700,string_quicksort,0.36674,25834
nearly_sorted,2700,string_mergesort,1.45324,13755
nearly_sorted,2700,msd_radix,0.798268,6507
nearly_sorted,2700,msd_radix_cutoff,0.37847,13019
nearly_sorted,2800,quicksort,0.593951,42444
nearly_sorted,2800,mergesort,1.32925,30493
nearly_sorted,2800,string_quicksort,0.356096,26907
nearly_sorted,2800,string_mergesort,1.55388,13958
nearly_sorted,2800,msd_radix,0.832392,6752
nearly_sorted,2800,msd_radix_cutoff,0.367478,13500
nearly_sorted,2900,quicksort,0.583647,44124
nearly_sorted,2900,mergesort,1.45692,31562
nearly_sorted,2900,string_quicksort,0.386788,27924
nearly_sorted,2900,string_mergesort,1.55064,14265
nearly_sorted,2900,msd_radix,0.824457,6991
nearly_sorted,2900,msd_radix_cutoff,0.36858,13990
nearly_sorted,3000,quicksort,0.598963,45156
nearly_sorted,3000,mergesort,1.51208,32702
nearly_sorted,3000,string_quicksort,0.386338,29160
nearly_sorted,3000,string_mergesort,1.59346,14532
nearly_sorted,3000,msd_radix,0.934213,7227
nearly_sorted,3000,msd_radix_cutoff,0.399233,14493
prefix_random,100,quicksort,0.0342806,5318
prefix_random,100,mergesort,0.0538616,5366
prefix_random,100,string_quicksort,0.0384356,2947
prefix_random,100,string_mergesort,0.057561,2079
prefix_random,100,msd_radix,0.619136,3106
prefix_random,100,msd_radix_cutoff,0.0363072,2590
prefix_random,200,quicksort,0.0772318,15846
prefix_random,200,mergesort,0.125536,15597
prefix_random,200,string_quicksort,0.065417,6665
prefix_random,200,string_mergesort,0.130716,5049
prefix_random,200,msd_radix,0.833749,6222
prefix_random,200,msd_radix_cutoff,0.0688498,5960
prefix_random,300,quicksort,0.147836,31208
prefix_random,300,mergesort,0.21754,28319
prefix_random,300,string_quicksort,0.0872698,10319
prefix_random,300,string_mergesort,0.206876,8122
prefix_random,300,msd_radix,1.09726,9346
prefix_random,300,msd_radix_cutoff,0.108471,9392
prefix_random,400,quicksort,0.243198,47695
prefix_random,400,mergesort,0.309829,42567
prefix_random,400,string_quicksort,0.105494,13844
prefix_random,400,string_mergesort,0.328363,10361
prefix_random,400,msd_radix,1.2791,12476
prefix_random,400,msd_radix_cutoff,0.116059,12892
prefix_random,500,quicksort,0.284346,61383
prefix_random,500,mergesort,0.403617,57688
prefix_random,500,string_quicksort,0.133807,17899
prefix_random,500,string_mergesort,0.377019,14218
prefix_random,500,msd_radix,1.53903,15623
prefix_random,500,msd_radix_cutoff,0.141662,16390
prefix_random,600,quicksort,0.363342,81603
prefix_random,600,mergesort,0.547138,74122
prefix_random,600,string_quicksort,0.165649,21527
prefix_random,600,string_mergesort,0.497014,17497
prefix_random,600,msd_radix,1.84992,18778
prefix_random,600,msd_radix_cutoff,0.164469,20013
prefix_random,700,quicksort,0.452225,102366
prefix_random,700,mergesort,0.681344,92303
prefix_random,700,string_quicksort,0.204097,25436
prefix_random,700,string_mergesort,0.573691,19437
prefix_random,700,msd_radix,2.08874,21940
prefix_random,700,msd_radix_cutoff,0.222955,23518
prefix_random,800,quicksort,0.556244,117447
prefix_random,800,mergesort,0.775492,109398
prefix_random,800,string_quicksort,0.223379,29794
prefix_random,800,string_mergesort,0.674718,22652
prefix_random,800,msd_radix,2.28383,25113
prefix_random,800,msd_radix_cutoff,0.257217,27088
prefix_random,900,quicksort,0.725731,149512
prefix_random,900,mergesort,0.839878,127888
prefix_random,900,string_quicksort,0.247533,33641
prefix_random,900,string_mergesort,0.756721,26166
prefix_random,900,msd_radix,2.49037,28279
prefix_random,900,msd_radix_cutoff,0.274259,30745
prefix_random,1000,quicksort,0.766723,167447
prefix_random,1000,mergesort,1.00341,145770
prefix_random,1000,string_quicksort,0.264405,37848
prefix_random,1000,string_mergesort,0.846953,30169
prefix_random,1000,msd_radix,2.77785,31469
prefix_random,1000,msd_radix_cutoff,0.334636,34249
prefix_random,1100,quicksort,0.864441,184220
prefix_random,1100,mergesort,1.20957,166428
prefix_random,1100,string_quicksort,0.310924,43286
prefix_random,1100,string_mergesort,0.917292,32888
prefix_random,1100,msd_radix,2.98505,34658
prefix_random,1100,msd_radix_cutoff,0.346132,38018
prefix_random,1200,quicksort,1.07527,217863
prefix_random,1200,mergesort,1.37785,184638
prefix_random,1200,string_quicksort,0.325999,46782
prefix_random,1200,string_mergesort,0.994271,36568
prefix_random,1200,msd_radix,3.19605,37856
prefix_random,1200,msd_radix_cutoff,0.52136,41461
prefix_random,1300,quicksort,1.15766,238105
prefix_random,1300,mergesort,1.31775,204639
prefix_random,1300,string_quicksort,0.37388,48893
prefix_random,1300,string_mergesort,1.20526,39330
prefix_random,1300,msd_radix,3.38257,41051
prefix_random,1300,msd_radix_cutoff,0.885598,44652
prefix_random,1400,quicksort,1.22606,266210
prefix_random,1400,mergesort,1.4759,226238
prefix_random,1400,string_quicksort,0.377057,54239
prefix_random,1400,string_mergesort,1.13706,41450
